NOP,22200842,107,CLE,118
PHI,22200837,119,NYK,108
LAC,22200845,106,MIL,119
BKN,22200833,116,CHI,105
ATL,22200832,116,PHX,107
LAL,22200834,106,MIL,115
BOS,22200824,106,PHI,99
DEN,22200820,146,MIN,112
MEM,22200819,104,CHI,89
LAL,22200821,130,OKC,133
BKN,22200817,112,PHX,116
NOP,22200818,116,ATL,107
BKN,22200810,116,LAC,124
GSW,22200814,141,OKC,114
MEM,22200805,103,TOR,106
NOP,22200807,136,SAC,104
MIN,22200806,128,DEN,98
NYK,22200804,108,PHI,97
DEN,22200801,128,ATL,108
NOP,22200798,131,LAL,126
MIL,22200797,123,MIA,115
NYK,22200795,128,LAC,134
BOS,22200788,94,PHX,106
CLE,22200779,128,MEM,113
MIL,22200784,106,LAC,105
DEN,22200783,134,GSW,117
NYK,22200780,106,MIA,104
PHX,22200777,100,ATL,132
MIN,22200774,119,GSW,114
BOS,22200772,139,BKN,96
DEN,22200768,122,NOP,113
NYK,22200765,123,LAL,129
CHI,22200766,103,LAC,108
CLE,22200764,97,MIA,100
PHX,22200762,114,TOR,106
OKC,22200759,120,GSW,128
BKN,22200757,121,LAL,104
MIN,22200758,111,SAC,118
MIL,22200755,135,NOP,110
CLE,22200754,122,LAC,99
BOS,22200749,125,LAL,121
ATL,22200745,113,LAC,120
PHI,22200741,126,DEN,119
MIN,22200746,117,SAC,110
BKN,22200742,122,NYK,115
MIN,22200737,111,MEM,100
GSW,22200740,129,TOR,117
OKC,22200739,112,CLE,100
BOS,22200730,117,NYK,120
PHI,22200721,137,BKN,133
GSW,22200726,122,MEM,120
NOP,22200724,102,MIN,111
OKC,22200725,132,ATL,137
SAC,22200728,95,TOR,113
MIL,22200723,107,DEN,99
MIA,22200714,98,BOS,95
NOP,22200716,98,DEN,99
LAL,22200719,115,LAC,133
NYK,22200715,105,CLE,103
CHI,22200708,111,ATL,100
SAC,22200712,133,MEM,100
MIA,22200699,100,NOP,96
